Instance,Gap_Static_Robuste,solve_robust_dual_Time,solve_robust_dual_Gap_LB,solve_cutting_planes_CB_Time,solve_cutting_planes_CB_Gap_LB,solve_cutting_planes_noCB_Time,solve_cutting_planes_noCB_Gap_LB,regret_greedy_robust_Time,regret_greedy_robust_Gap_LB
100_kroA_3.tsp,-0.059663230403580673,20.069999933242798,0.1729572213867521,400.0220000743866,0.17295722138675235,421.7604144,0.4295913678438247,0.0,0.17295722138675096
100_kroA_6.tsp,-0.18055587481702692,20.06500005722046,0.24674524524620087,400.04299998283386,0.24549935266026846,422.9545379,0.6282303099399366,0.0,0.24549935266026923
100_kroA_9.tsp,-0.42555448316367805,20.078999996185303,0.32345077390602794,400.4909999370575,0.33592641077057644,424.2602785,0.72168350273149,0.002000093460083008,0.33788004835490526
10_ulysses_3.tsp,-1.5203885736985738,0.07699990272521973,0.0,0.5889999866485596,-2.0746488637328168e-16,0.8163455,-2.0746488637328168e-16,0.0,0.020758807329431136
10_ulysses_6.tsp,-6.6321546220908125,0.0840001106262207,0.0,0.6080000400543213,-1.0181434447527905e-10,0.3587039,0.0,0.0,0.0
10_ulysses_9.tsp,-45.22091827853187,0.00599980354309082,0.0,0.5580000877380371,0.0,0.7798339,-4.268562515807722e-16,0.0009999275207519531,0.0
14_burma_3.tsp,-0.41043202639729726,0.1119999885559082,-1.5216679145317236e-16,0.6519999504089355,0.0,1.288425,-1.5216679145317236e-16,0.0,0.0
14_burma_6.tsp,-1.3794696741581822,0.15599989891052246,0.0,0.8559999465942383,0.0,9.9120226,0.0,0.0,0.0
14_burma_9.tsp,-3.3943120157765936,0.2840001583099365,0.0,1.4709999561309814,-1.7111254381294922e-16,9.5476987,0.0,0.0,0.15592902178341975
202_gr_3.tsp,-0.07373971181135347,20.09999990463257,0.3827952865485472,400.039999961853,0.38202699874896495,426.1806236,0.4440666571973064,0.0,0.38439152503559176
202_gr_6.tsp,-0.8693130737509428,NaN,NaN,NaN,NaN,430.3354051,NaN,NaN,NaN
202_gr_9.tsp,-0.21711945542295508,20.098999977111816,0.5547799331593112,400.07400012016296,0.5550097816350616,434.7033372,0.7860639852802701,0.0,0.5582387783256229
22_ulysses_3.tsp,-0.2618735180356809,1.6099998950958252,0.0,2.505000114440918,-4.75495662945188e-16,94.5039424,-1.584985543150626e-16,0.015000104904174805,0.0011936282200944801
22_ulysses_6.tsp,-0.28233737641714307,20.04199981689453,0.08904498941577917,400.01199984550476,0.08904498941577939,428.068922,-0.0018090456880013445,0.0,0.08904498941577917
22_ulysses_9.tsp,-1.4782783658077265,20.003000020980835,0.4773260875120348,400.00999999046326,0.4773260840358285,195.9736216,0.4773260875120347,0.0,0.4773260875120348
26_eil_3.tsp,-0.17848599331628978,6.062000036239624,0.0,14.019000053405762,-7.237814804733552e-9,437.9628339,-0.05362326154819477,0.0,1.9792021905629968e-16
26_eil_6.tsp,-0.2547619989411099,20.055000066757202,0.23754397454589055,400.0069999694824,0.23754397454589019,420.2766941,0.01903536670143077,0.0009999275207519531,0.23754397454589063
26_eil_9.tsp,-0.3846790515835039,20.015000104904175,0.4574520294159331,400.029000043869,0.4477928210240795,420.231901,0.06734472964803269,0.0,0.4813265796164418
30_eil_3.tsp,-0.1162607657747908,20.01699995994568,0.0,35.08200001716614,0.0,420.2201573,-0.004979324534796948,0.0,-6.020930178689702e-16
30_eil_6.tsp,-0.22818306387412063,20.003000020980835,0.2860412002258465,400.0160000324249,0.29160497127110313,420.201844,0.18651543567140216,0.0,0.2860412002258464
30_eil_9.tsp,-0.34726700703804764,20.00600004196167,0.372944483781587,400.0090000629425,0.3489325641291041,420.3555128,0.260117159020861,0.0,0.37488994618920013
318_lin_3.tsp,-0.39660094037704874,NaN,NaN,NaN,NaN,434.9741766,NaN,NaN,NaN
318_lin_6.tsp,-0.07555064714134974,20.10199999809265,0.2579498334620561,400.10199999809265,0.25223790154553966,444.3084654,0.6740990018729714,0.016000032424926758,0.25399694264910083
318_lin_9.tsp,-0.18447337225389526,20.23300004005432,0.31522277016050626,400.4739999771118,0.3170546707697647,454.8256896,0.7503318194048069,0.03600001335144043,0.3125359919463763
34_pr_3.tsp,-0.2432257489462163,20.013000011444092,6.524008229067454e-5,302.53600001335144,6.518988452453667e-5,420.5546226,-0.05391394369592896,0.0,6.524008229013446e-5
34_pr_6.tsp,-0.3040999786584944,20.013999938964844,0.4150116454400809,400.02300000190735,0.41501164544007685,420.3608842,0.1730825386898011,0.0,0.3943534713344777
34_pr_9.tsp,-0.6463198754047382,20.01199984550476,0.4923326550383514,400.00999999046326,0.5106013099410222,420.3784851,0.25852139124193185,0.0,0.4966991196862547
38_rat_3.tsp,-0.24131176229451534,20.01099991798401,0.12127279606002343,400.02099990844727,0.11718313924923875,420.2676166,0.06128473159280102,0.0,0.12911102167764077
38_rat_6.tsp,-0.5092143000818025,20.014000177383423,0.3827990352974242,400.0329999923706,0.3888817230171024,420.3050808,0.2277908024452085,0.0,0.3827990352974244
38_rat_9.tsp,-0.5679584609957296,20.032999992370605,0.4897472049414637,400.0440001487732,0.48160263953050897,420.7588946,0.16422839981040518,0.0,0.4999910058329189
400_rd_3.tsp,-0.006932896693265479,20.17799997329712,0.21822487088471837,400.1180000305176,0.2182248708847194,442.4868746,0.5273505377922602,0.04699993133544922,0.218224870884717
400_rd_6.tsp,-0.031081915668322854,20.29800009727478,1.0,NaN,NaN,458.0771847,1.0,0.03099989891052246,1.0
400_rd_9.tsp,-0.06918141229248762,20.181999921798706,1.0,NaN,NaN,407.0117315,1.0,0.031999826431274414,1.0
40_eil_3.tsp,-0.16233443138742704,20.005000114440918,0.11127087948720223,400.010999917984,0.11127087948720173,420.4722213,0.14782242909456073,0.0,0.11127087948720248
40_eil_6.tsp,-0.4788768224923601,20.014000177383423,0.33850652887343624,400.0169999599457,0.3382702947224277,420.5890267,0.3093825523822822,0.017000198364257812,0.32701291274759803
40_eil_9.tsp,-0.6329768675830332,20.10800004005432,0.44029816774627933,400.34500002861023,0.42469926410721187,421.2579086,0.3052704999474455,0.0,0.4342477655619681
44_lin_3.tsp,-0.20435892518353518,20.01099991798401,0.22241586135440647,400.02300000190735,0.22241586135440647,420.4426831,0.21060122577697676,0.0,0.22371168548724746
44_lin_6.tsp,-0.6776270139916285,20.062999963760376,0.45129344023324974,400.02499985694885,0.4584402142224001,421.0876242,0.3926597259387814,0.0,0.4486187752034661
44_lin_9.tsp,-0.5948892945424444,20.00600004196167,0.4925982637019048,400.0549998283386,0.4915341719428418,421.2254095,0.22259908015875912,0.0,0.4980897762641197
48_att_3.tsp,-0.09032953508429732,20.003999948501587,0.009614870788459276,183.60000014305115,0.0,420.3090957,0.030391698673414708,0.0,0.029631765729740186
48_att_6.tsp,-0.3875283042869445,20.10199999809265,0.4064725019360025,400.02100014686584,0.42216387543145445,421.4913474,0.4911820292401453,0.0,0.38574546760896467
48_att_9.tsp,-0.6736371496300451,20.02300000190735,0.4745356729055483,400.0329999923706,0.4796703124523151,421.2369463,0.4844576068617223,0.0,0.47367805789862166
52_berlin_3.tsp,-0.11233492549966585,20.033999919891357,0.218543166943419,400.0199999809265,0.21382449632376452,420.429788,0.26701183120207334,0.0,0.21854316694341833
52_berlin_6.tsp,-0.3734513914255731,20.026999950408936,0.49444294373873954,400.03399991989136,0.4847181053969117,421.1873709,0.4774329596928522,0.0009999275207519531,0.49200171748140215
52_berlin_9.tsp,-0.8397174297802454,20.019999980926514,0.5973377421571346,400.0220000743866,0.5774086649643021,421.3795022,0.6108284444739507,0.0019998550415039062,0.5941013970087283
532_att_3.tsp,-0.11910908034789089,20.14199995994568,0.4109583965736932,400.19799995422363,0.40948229268086095,461.0222907,0.5761612974753773,0.07899999618530273,0.40932042433460336
532_att_6.tsp,-0.14864718026051169,20.228999853134155,1.0,NaN,NaN,428.3997159,1.0,0.07899999618530273,1.0
532_att_9.tsp,-0.2356591399583116,20.411999940872192,1.0,NaN,NaN,467.2590615,1.0,0.09399986267089844,1.0
70_st_3.tsp,-0.0866694850877531,20.01699995994568,0.16364104320280426,400.02699995040894,0.16364104320280543,421.0448958,0.4008537139094952,0.0009999275207519531,0.163641043202804
70_st_6.tsp,-0.29625581507342347,20.021999835968018,0.29765523494385454,400.0589997768402,0.2967916449299022,421.5881037,0.5615693374122149,0.0010001659393310547,0.2927653999701858
70_st_9.tsp,-0.5574591143176406,20.04099988937378,0.36214772133130085,400.0479998588562,0.3681251493809229,422.2619412,0.6774795542345112,0.0,0.3784518210136601
80_gr_3.tsp,-0.0961760134129179,20.042999982833862,0.2205604035077975,400.03399991989136,0.22056040350779896,421.3024731,0.3674277271711063,0.002000093460083008,0.22056040350779682
80_gr_6.tsp,-0.2887070222113416,20.045000076293945,0.29799021944027804,400.2420001029968,0.2944021515631421,421.7437628,0.5972753054704737,0.0009999275207519531,0.3039327206586543
80_gr_9.tsp,-0.6314474700261122,20.032000064849854,0.42056250932716593,400.07400012016296,0.4101446712656791,423.1313247,0.6631804781545747,0.0,0.41209912115857306
